gata @ nprocs=2048, n=8  (116 (b,r) combos)
    b      r   reps     median(ms)         lo(ms)         hi(ms)        raw min        raw max   dropped
------------------------------------------------------------------------------------------------------------------------
    1      2     18        1.52631         1.4915        1.57806         1.4915        1.69261         2 *
    1      4     18        1.86194        1.84757        1.91241        1.80231        1.93073         2
    2      4     18        1.72036        1.68092        1.76869        1.68092        7.29362         1
    3      4     18        1.56785        1.53337        1.59011        1.53337        1.64847         1
    1      6     18        2.66118        2.62745        2.69578        2.62745        2.72906         1
    2      6     18        2.53342         2.4783        2.61779         2.4783        2.61779         0
    4      6     18        2.42275        2.36717        2.46937        2.36717        2.46937         0
    5      6     18        2.51462        2.48174        2.53319        2.48174        2.68857         2
    1      8     18        3.65602        3.62367        3.73073        3.62367        8.99172         1
    2      8     18        2.32265        2.28607        2.35252        2.28607        2.43323         1
    4      8     18        2.30613        2.25983        2.34529        2.25983         2.4933         3
    7      8     18        2.34779         2.3107        2.41789         2.3107        2.41789         0
    1     12     18        3.77119         3.7158        3.83813         3.7158        3.91381         1
    2     12     18        3.33712        3.29516        3.39038        3.29516        3.47858         1
    4     12     18        3.18982        3.16199        3.22863        3.16199         3.2687         1
    8     12     18        3.37451        3.32477        3.46847        3.32477        3.46847         0
   11     12     18        3.42734        3.33982        3.47837        3.33982        3.47837         0
    1     16     18        6.95435        6.86477        7.10278        6.86477        7.10278         0
    2     16     18        3.62411        3.58084        3.71409        3.58084        3.71409         0
    4     16     18        3.48705        3.45525        3.54026        3.45525        3.84483         1
    8     16     18        3.93761        3.88876        4.00594        3.88876        4.00594         0
   15     16     18        4.58587         4.5181         4.7106         4.5181        4.78186         1
    1     23     18        6.95127        6.86789        7.00203        6.86789        7.13608         1
    2     23     18        4.76281        4.67229        4.84985        4.67229        4.84985         0
    4     23     18        4.48749        4.42066        4.53963        4.42066        4.53963         0
    8     23     18        4.50786        4.46854        4.58065        4.46854        4.69136         2
   16     23     18        4.82832        4.79471        4.89099        4.75957         10.337         3
   22     23     18        4.97647        4.90608        5.04441        4.90608        5.14067         1
    1     35     18        7.83022        7.71322        7.98398        7.71322        9.86997         2
    2     35     18        5.29183        5.20671        5.56389        5.20671        5.56389         0
    4     35     18        4.57669        4.52767        4.65902        4.52767        4.72156         1
    8     35     18        4.74653        4.67549        4.78872        4.67549        4.86262         1
   16     35     18        4.65186        4.61869        4.73056        4.61869        4.73056         0
